CountyCode,population,agePct12t21,agePct12t29,agePct16t24,agePct65up,murders,murdPerPop,rapes,rapesPerPop,robberies,robbbPerPop,assaults,assaultPerPop,burglaries,burglPerPop,larcenies,larcPerPop,autoTheft,autoTheftPerPop,arsons,arsonsPerPop,ViolentCrimesPerPop,nonViolPerPop
1,117815,10.78666667,20.66166667,9.84,20.605,2,4.67,42,159.3,56,233.51,1015,3452.21,1574,7249.8,2539,12812.46,302,1301.7,18,107.45,3849.67,21471.44
3,65419,15.405,28.53,15.815,15.23,0,0,4,17.13,31,74.96,301,1008.59,681,2105.03,1362,4655.3,146,398.33,0,0,1100.67,7158.64
5,350691,15.64444444,27.46555556,14.78666667,12.70666667,4,4.26,90,144.52,491,743.43,1928,2989.64,3537,6705.23,6262,15124.82,1155,2983.9,124,288.56,3881.85,20435.65
9,557058,12.461875,25.129375,12.11,12.82125,14,22.38,149,328.14,976,1658.12,3026,6455.1,6926,15646.6,10664,28892.5,4183,9185.59,119,219.1,8463.74,50559.83
11,18666,12.33,24.46,11.68,15.81,0,0,17,89.76,15,79.2,286,1510.03,205,1082.37,517,2729.67,55,290.39,0,0,1678.99,4102.43
13,283181,13.97428571,24.68142857,12.74857143,13.49571429,21,16.88,157,234.99,727,662.32,556,1972.98,4217,6779.59,10711,39563.04,4489,5591.58,58,279.83,2343.11,44602.25
15,27264,15.805,27.525,15.555,11.7,0,0,3,20.78,7,40.66,66,517.44,105,841.2,286,2026.58,49,314.78,1,9.16,578.89,3191.72
17,1174850,12.55970588,26.94323529,13.13647059,11.22,17,39.76,216,445.54,1039,1628.82,4894,10473.69,8683,18891.46,21910,50785.25,7017,13121.73,235,356.38,12587.74,83154.84
21,530233,12.43315789,25.66526316,12.58210526,12.02526316,8,25.16,96,333.59,290,808.07,1167,3197.25,2848,8757.58,8005,24081.29,2719,7547.97,92,309.53,4364.1,40696.39
23,253897,14.42666667,27.06666667,13.56666667,9.442222222,16,19.13,83,194.25,361,540.12,1407,3389.55,2869,6689.06,5548,14405.2,2137,3614.96,16,99.11,4143.06,17254.38
25,574283,15.09,35.85,19.45,10.05,98,17.8,480,87.16,4081,741.04,6184,1122.9,7982,1449.39,24789,4501.24,11932,2166.64,0,0,1968.89,0
27,457584,13.83411765,27.57294118,13.51117647,11.64294118,20,45.39,188,586.82,773,894.79,1431,7152.48,5669,12146.42,10005,25265.93,2375,3823.51,22,89.3,8248.32,35120.93
